msme_id,company_name,average_monthly_balance,inflow_to_outflow_ratio,bounce_mandate_failure_rate,balance_depletion_speed_days,gstr1_vs_gstr3b_variance,late_gst_filing_frequency,b2b_vs_b2c_revenue_ratio,monthly_revenue_growth_rate,active_employee_count_trend,epfo_wage_consistency_score,upi_transaction_velocity_daily,night_transaction_ratio,is_defaulter,risk_band
MSME-2026-KPTP70,Chandran LLC,1065788.96,1.088,0.042,38.8,77714.08,0.772,0.89,-0.06,-0.056,75.7,18.7,0.087,0,B
MSME-2026-IEPZ81,Wadhwa LLC,797034.78,1.267,0.071,28.8,25097.60,0.633,0.96,-0.04,0.058,18.8,18.5,0.115,0,B
MSME-2026-SXIO29,Raju Ltd,1606928.37,1.132,0.013,52.0,77194.86,0.869,1.86,-0.037,-0.007,37.4,18.2,0.116,0,B
MSME-2026-IUFY43,Venkatesh-Nayar,599933.26,1.057,0.044,19.7,103941.84,0.714,19.00,0.005,0.08,71.3,19.7,0.109,0,B
MSME-2026-EOBM97,Subramaniam Ltd,1325086.05,1.073,0.066,42.2,75733.20,0.529,8.09,0.094,0.028,86.1,19.0,0.105,0,B
MSME-2026-JPVH12,Savant-Kata,885922.84,1.151,0.118,35.4,18823.58,0.714,2.45,0.074,-0.06,35.6,17.8,0.083,1,C
MSME-2026-QFZS19,"Chandra, Sharaf and Suresh",1019606.85,1.266,0.031,39.2,70968.19,0.631,4.00,0.007,-0.02,71.8,17.7,0.089,0,B
MSME-2026-LYFW98,Bhagat-Magar,451159.31,0.790,0.039,14.3,127037.16,0.368,9.00,-0.023,-0.009,46.7,19.7,0.103,0,B
MSME-2026-JIEC57,Chand-Swaminathan,1368429.45,0.922,0.043,39.3,108672.03,0.415,0.82,0.014,-0.056,55.7,18.8,0.101,0,B
MSME-2026-AELT71,Maharaj LLC,1128643.25,1.153,0.028,39.6,157424.60,0.764,0.25,0.005,0.054,36.2,18.3,0.114,0,B
MSME-2026-OKOT57,Thaman-Das,1623013.68,1.063,0.104,53.6,114509.15,0.586,0.15,-0.059,-0.021,58.3,24.0,0.104,0,B
MSME-2026-PHLI20,Solanki Ltd,1169395.82,1.167,0.018,36.5,49125.28,0.696,1.17,-0.093,0.035,88.3,19.2,0.108,0,B
MSME-2026-PFSK69,"Sastry, Rau and More",1658382.79,1.116,0.063,55.9,78228.66,0.66,0.59,-0.129,-0.05,55.9,17.3,0.121,0,B
MSME-2026-JIVD03,Raju Inc,449318.48,1.068,0.073,14.5,70155.13,0.158,0.96,-0.003,-0.043,2.4,18.5,0.111,0,B
MSME-2026-ULMF07,"Thaman, Ramesh and Trivedi",1491013.17,1.049,0.074,48.2,124618.90,0.474,5.25,-0.097,0.009,78.0,20.2,0.097,0,B
MSME-2026-YTBA39,Natarajan Inc,721283.91,1.136,0.048,25.1,136127.74,0.756,3.55,0.002,0.063,27.4,16.8,0.093,0,B
MSME-2026-RIZS98,Muni Inc,1030718.69,1.116,0.05,35.2,55427.32,0.839,0.14,-0.023,0.033,24.6,16.7,0.114,0,B
MSME-2026-PFFQ65,"Kadakia, Parikh and Lalla",779938.45,0.921,0.004,22.6,44930.68,0.731,0.52,0.011,-0.007,66.2,16.2,0.111,0,A
MSME-2026-YQPY22,"Koshy, Nori and Nagar",448473.82,1.005,0.073,14.9,82888.30,0.484,0.14,0.065,-0.09,71.0,18.7,0.105,0,B
MSME-2026-OFTJ42,Palla-Shankar,1490914.05,0.955,0.048,45.2,250036.32,0.886,2.85,-0.011,-0.038,24.4,18.8,0.102,0,B
MSME-2026-EDBX63,Mukherjee PLC,1291301.85,0.945,0.036,39.4,61239.19,0.607,3.00,0.105,-0.099,87.1,21.5,0.101,0,B
MSME-2026-FKCR35,Sandhu-Gour,673886.39,0.951,0.013,20.4,56519.21,0.3,0.82,0.095,-0.012,26.6,22.5,0.123,0,B
MSME-2026-SPGF62,"Suresh, Chadha and Dyal",1876152.63,1.219,0.04,71.3,36860.16,0.32,0.75,0.018,-0.002,92.4,17.2,0.089,0,B
MSME-2026-AJQR21,Lalla Ltd,12645.12,0.881,0.125,0.4,183914.87,1.0,0.32,-0.012,-0.073,30.7,17.3,0.108,1,C
MSME-2026-BTRP68,Om-Toor,457866.57,1.094,0.066,16.6,108090.58,1.0,0.75,0.069,0.075,7.2,16.8,0.081,1,C
MSME-2026-AQWS32,Kale-Swamy,1571260.82,1.198,0.067,56.5,125273.07,0.884,1.63,0.003,0.127,72.2,18.7,0.102,0,B
MSME-2026-ESEN10,Chander-Atwal,693955.55,1.193,0.139,25.4,16146.74,0.853,0.82,-0.001,0.206,34.7,18.2,0.092,1,C
MSME-2026-HTRQ64,Khare Inc,1047424.31,1.225,0.068,37.4,124071.78,0.433,0.56,-0.132,0.102,29.8,22.7,0.097,0,B
MSME-2026-UCOY03,Koshy Group,1545945.52,1.114,0.01,54.4,78584.12,0.413,3.00,0.058,0.034,34.3,19.3,0.092,0,A
